id,code,prefix,start,end,label
GV1218.5-1220.8,GV1218.5-1220.8,GV,1218.5,1220.8,Toys
GV1221-1469.63,GV1221-1469.63,GV,1221.0,1469.63,Indoor games and amusements
GV1232-1299,GV1232-1299,GV,1232.0,1299.0,"Card games: Poker, patience, whist, etc."
GV1301-1311,GV1301-1311,GV,1301.0,1311.0,Gambling.  Chance and banking games
GV1312-1469,GV1312-1469,GV,1312.0,1469.0,Board games.  Move games
GV1469.15-1469.62,GV1469.15-1469.62,GV,1469.15,1469.62,Computer games.  Video games.  Fantasy games GV1470-1511                                 Parties.  Party games and stunts
GV1491-1507,GV1491-1507,GV,1491.0,1507.0,Puzzles
GV1541-1561,GV1541-1561,GV,1541.0,1561.0,Parlor magic and tricks
GV1564-1565,GV1564-1565,GV,1564.0,1565.0,Darts
GV1580-1799.4,GV1580-1799.4,GV,1580.0,1799.4,Dancing
GV1800-1860,GV1800-1860,GV,1800.0,1860.0,"Circuses, spectacles, etc."
H1-99,H1-99,H,1.0,99.0,Social sciences (General)
HA1-4737,HA1-4737,HA,1.0,4737.0,Statistics
HA29-32,HA29-32,HA,29.0,32.0,Theory and method of social science statistics
HA36-37,HA36-37,HA,36.0,37.0,Statistical services. Statistical bureaus
HA38-39,HA38-39,HA,38.0,39.0,Registration of vital events. Vital records
HA154-4737,HA154-4737,HA,154.0,4737.0,Statistical data
HA154-155,HA154-155,HA,154.0,155.0,Universal statistics
HA175-4737,HA175-4737,HA,175.0,4737.0,By region or country
HB1-3840,HB1-3840,HB,1.0,3840.0,Economic theory. Demography
HB71-74,HB71-74,HB,71.0,74.0,Economics as a science. Relation to other subjects
HB75-130,HB75-130,HB,75.0,130.0,History of economics. History of economic theory Including special economic schools
HB131-147,HB131-147,HB,131.0,147.0,Methodology
HB135-147,HB135-147,HB,135.0,147.0,"Mathematical economics. Quantitative methods Including econometrics, input-output analysis, game theory"
HB201-206,HB201-206,HB,201.0,206.0,Value. Utility
HB221-236,HB221-236,HB,221.0,236.0,Price
HB238-251,HB238-251,HB,238.0,251.0,Competition. Production. Wealth
HB501,HB501,HB,501.0,501.0,Capital. Capitalism
HB522-715,HB522-715,HB,522.0,715.0,Income. Factor shares
