pleiades_id,place_label,place_type,min_date,max_date,geonames_id,geonames_label,geonames_feature_code,wikidata_qid,wikidata_label,wikidata_latitude,wikidata_longitude,tgn_id,tgn_label,tgn_latitude,tgn_longitude,has_wikidata_match,has_tgn_match,has_temporal_signal,is_fully_triangulated,is_full_chain_wikidata_tgn
109029,Haltern,"fort-2, archaeological-site, fort",-30,2100,2911396,,ADM4,,,,,,,,,false,false,true,false,false
109031,Gallo-Roman Sanctuary at Hanches,"sanctuary, settlement",-30,2100,3014001,,PPL,,,,,,,,,false,false,true,false,false
109031,Gallo-Roman Sanctuary at Hanches,"sanctuary, settlement",-30,2100,6430760,,ADM4,Q1139329,Hanches,48.6025,1.6469444444444,,,,,true,false,true,true,false
109048,Hofstade,settlement,-30,2100,2795618,,PPL,,,,,,,,,false,false,true,false,false
109054,Howardries,settlement,-30,2100,2795224,,PPL,,,,,,,,,false,false,true,false,false
109059,Iatinon/Fixtuinum,settlement,-30,2100,2994797,,ADM3,Q642854,arrondissement of Meaux,48.95777778,2.88555556,,,,,true,false,true,true,false
109059,Iatinon/Fixtuinum,settlement,-30,2100,2994798,,PPLA3,Q207620,Meaux,48.959444444444,2.8877777777778,,,,,true,false,true,true,false
109059,Iatinon/Fixtuinum,settlement,-30,2100,6454723,,ADM4,,,,,,,,,false,false,true,false,false
109063,Igel,"tomb, monument",-30,2100,2896721,,PPLA4,,,,,,,,,false,false,true,false,false
109063,Igel,"tomb, monument",-30,2100,6554746,,ADM4,Q543497,Igel,49.71,6.5480555555556,,,,,true,false,true,true,false
109068,Iuliacum,settlement,-30,640,2894553,,PPL,,,,,,,,,false,false,true,false,false
109069,Iuliobona,settlement,-30,2100,2998322,,PPL,Q837563,Lillebonne,49.520833333333,0.5375,,,,,true,false,true,true,false
109069,Iuliobona,settlement,-30,2100,6443298,,ADM4,,,,,,,,,false,false,true,false,false
109080,Kester,settlement,-30,2100,2794502,,PPL,,,,,,,,,false,false,true,false,false
109093,Kruishoutem,settlement,-30,2100,2793907,,PPL,Q21767332,Kruishoutem,50.904347222222,3.5278861111111,,,,,true,false,true,true,false
109093,Kruishoutem,settlement,-30,2100,2793908,,ADM4H,Q817375,Kruishoutem,50.9,3.5333333333333,,,,,true,false,true,true,false
109112,Liffol-le-Grand,settlement,-30,2100,2998425,,PPL,,,,,,,,,false,false,true,false,false
109112,Liffol-le-Grand,settlement,-30,2100,6445622,,ADM4,Q1418456,Liffol-le-Grand,48.318888888889,5.5811111111111,,,,,true,false,true,true,false
109116,Litanobriga?,settlement,-30,2100,2972795,,PPL,Q1335068,Thiverny,49.247777777778,2.4322222222222,,,,,true,false,true,true,false
109116,Litanobriga?,settlement,-30,2100,6438996,,ADM4,,,,,,,,,false,false,true,false,false
109126,Lutetia,settlement,-330,2100,2968815,,ADM2,Q90,Paris,48.856666666667,2.3522222222222,,,,,true,false,true,true,false
109126,Lutetia,settlement,-330,2100,2988506,,ADM3,,,,,,,,,false,false,true,false,false
109126,Lutetia,settlement,-330,2100,2988507,,PPLC,Q90,Paris,48.856666666667,2.3522222222222,,,,,true,false,true,true,false
109126,Lutetia,settlement,-330,2100,6455259,,ADM4,,,,,,,,,false,false,true,false,false
