qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q114868851,Lagash II Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbf9qf7,7ffbf9qf7,7ffbf9qf7
Q114868851,Lagash II Period,hierarchy,P155,follows,0,normal,Q419594,Akkad period,,7ffbf9qf7
Q114868851,Lagash II Period,hierarchy,P156,followed by,0,normal,Q109384761,Ur III period,,7ffbf9qf7
Q114868885,Linear Elamite Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbf44sn
Q114868885,Linear Elamite Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbf44sn,7ffbf44sn,7ffbf44sn
Q114868885,Linear Elamite Period,temporal,P580,start time,0,normal,,time=-2200-00-00T00:00:00Z;precision=9,time=-2200-00-00T00:00:00Z;precision=9,7ffbf44sn
Q114868885,Linear Elamite Period,temporal,P582,end time,0,normal,,time=-2000-00-00T00:00:00Z;precision=9,time=-2000-00-00T00:00:00Z;precision=9,7ffbf44sn
Q114868885,Linear Elamite Period,hierarchy,P155,follows,0,normal,Q29297301,Old Elamite period,,7ffbf44sn
Q114868885,Linear Elamite Period,hierarchy,P155,follows,1,normal,Q419594,Akkad period,,7ffbf44sn
Q114868885,Linear Elamite Period,hierarchy,P156,followed by,0,normal,Q29297151,Middle Elamite period,,7ffbf44sn
Q114868919,Middle Assyrian Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfnbsj
Q114868919,Middle Assyrian Period,temporal,P580,start time,0,normal,,time=-1400-00-00T00:00:00Z;precision=9,time=-1400-00-00T00:00:00Z;precision=9,7ffbfnbsj
Q114868919,Middle Assyrian Period,temporal,P582,end time,0,normal,,time=-1000-00-00T00:00:00Z;precision=9,time=-1000-00-00T00:00:00Z;precision=9,7ffbfnbsj
Q114868919,Middle Assyrian Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfnbsj,7ffbfnbsj,7ffbfnbsj
Q114868919,Middle Assyrian Period,hierarchy,P155,follows,0,normal,Q15782728,Old-Assyrian period,,7ffbfnbsj
Q114868919,Middle Assyrian Period,hierarchy,P156,followed by,0,normal,Q114869081,Neo Assyrian Period,,7ffbfnbsj
Q114869008,Middle Hittite Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbf8qk6
Q114869008,Middle Hittite Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbf8qk6,7ffbf8qk6,7ffbf8qk6
Q114869008,Middle Hittite Period,temporal,P580,start time,0,normal,,time=-1500-00-00T00:00:00Z;precision=9,time=-1500-00-00T00:00:00Z;precision=9,7ffbf8qk6
Q114869008,Middle Hittite Period,temporal,P582,end time,0,normal,,time=-1100-00-00T00:00:00Z;precision=9,time=-1100-00-00T00:00:00Z;precision=9,7ffbf8qk6
Q114869008,Middle Hittite Period,hierarchy,P155,follows,0,normal,Q1471568,Old Babylonian Period,,7ffbf8qk6
Q114869081,Neo Assyrian Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfzf7k
Q114869081,Neo Assyrian Period,temporal,P580,start time,0,normal,,time=-0911-00-00T00:00:00Z;precision=9,time=-0911-00-00T00:00:00Z;precision=9,7ffbfzf7k
Q114869081,Neo Assyrian Period,temporal,P582,end time,0,normal,,time=-0612-00-00T00:00:00Z;precision=9,time=-0612-00-00T00:00:00Z;precision=9,7ffbfzf7k
Q114869081,Neo Assyrian Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfzf7k,7ffbfzf7k,7ffbfzf7k
Q114869081,Neo Assyrian Period,hierarchy,P155,follows,0,normal,Q114868919,Middle Assyrian Period,,7ffbfzf7k
Q114869307,Neo Babylonian Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfqvg7
Q114869307,Neo Babylonian Period,temporal,P580,start time,0,normal,,time=-0626-00-00T00:00:00Z;precision=9,time=-0626-00-00T00:00:00Z;precision=9,7ffbfqvg7
Q114869307,Neo Babylonian Period,temporal,P582,end time,0,normal,,time=-0539-00-00T00:00:00Z;precision=9,time=-0539-00-00T00:00:00Z;precision=9,7ffbfqvg7
Q114869307,Neo Babylonian Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfqvg7,7ffbfqvg7,7ffbfqvg7
Q114869307,Neo Babylonian Period,hierarchy,P155,follows,0,normal,Q22809362,Late Babylonian Period,,7ffbfqvg7
Q114869307,Neo Babylonian Period,hierarchy,P156,followed by,0,normal,Q114867307,Achaemenid Period,,7ffbfqvg7
Q114869307,Neo Babylonian Period,hierarchy,P156,followed by,1,normal,Q115667399,Persian period,,7ffbfqvg7
Q114877803,Uruk III Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbf3bb5
Q114877803,Uruk III Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbf3bb5,7ffbf3bb5,7ffbf3bb5
Q114877803,Uruk III Period,temporal,P580,start time,0,normal,,time=-3200-00-00T00:00:00Z;precision=9,time=-3200-00-00T00:00:00Z;precision=9,7ffbf3bb5
Q114877803,Uruk III Period,temporal,P582,end time,0,normal,,time=-3000-00-00T00:00:00Z;precision=9,time=-3000-00-00T00:00:00Z;precision=9,7ffbf3bb5
Q114877803,Uruk III Period,hierarchy,P155,follows,0,normal,Q114877809,Uruk IV Period,,7ffbf3bb5
Q114877803,Uruk III Period,hierarchy,P156,followed by,0,normal,Q99299898,Early Dynastic I,,7ffbf3bb5
Q114877809,Uruk IV Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbfz8rq
Q114877809,Uruk IV Period,hierarchy,P31,instance of,1,normal,Q3448837,middle chronology,,7ffbfz8rq
Q114877809,Uruk IV Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbfz8rq,7ffbfz8rq,7ffbfz8rq
Q114877809,Uruk IV Period,temporal,P580,start time,0,normal,,time=-3350-00-00T00:00:00Z;precision=9,time=-3350-00-00T00:00:00Z;precision=9,7ffbfz8rq
Q114877809,Uruk IV Period,temporal,P582,end time,0,normal,,time=-3200-00-00T00:00:00Z;precision=9,time=-3200-00-00T00:00:00Z;precision=9,7ffbfz8rq
Q114877809,Uruk IV Period,hierarchy,P155,follows,0,normal,Q114877817,Uruk V Period,,7ffbfz8rq
Q114877809,Uruk IV Period,hierarchy,P156,followed by,0,normal,Q114877803,Uruk III Period,,7ffbfz8rq
Q114877817,Uruk V Period,hierarchy,P31,instance of,0,normal,Q11514315,historical period,,7ffbf4k4d
